ts,latitude,longitude,satellites
146.77,39.39506912231445,-8.278064727783203,6
147.17,39.39509963989258,-8.2780179977417,6
147.37,39.39511489868164,-8.277996063232422,6
147.57,39.3951301574707,-8.277975082397461,6
147.67,39.3951301574707,-8.277975082397461,6
147.77,39.395137786865234,-8.277953147888184,6
147.97,39.3951530456543,-8.277929306030273,6
148.17,39.395164489746094,-8.277907371520996,6
148.37,39.39517593383789,-8.277892112731934,6
148.57,39.39519119262695,-8.277880668640137,6
148.77,39.39520263671875,-8.277873992919922,6
149.17,39.395225524902344,-8.277848243713379,6
149.37,39.39523696899414,-8.277838706970215,6
149.57,39.39524841308594,-8.277830123901367,6
149.67,39.39524841308594,-8.277830123901367,6
149.77,39.395259857177734,-8.277820587158203,6
150.17,39.39527893066406,-8.277806282043457,6
150.37,39.39529037475586,-8.27779483795166,7
150.57,39.39530563354492,-8.277779579162598,7
150.77,39.39531707763672,-8.277765274047852,7
151.17,39.39533996582031,-8.277732849121094,7
151.37,39.39535140991211,-8.277718544006348,7
151.57,39.39535903930664,-8.27769947052002,7
151.67,39.39535903930664,-8.27769947052002,7
151.77,39.39537048339844,-8.277682304382324,7
152.17,39.39539337158203,-8.277653694152832,7
152.37,39.39539337158203,-8.277653694152832,7
152.47,39.39540100097656,-8.27763843536377,7
152.57,39.395416259765625,-8.277632713317871,7
152.77,39.39542770385742,-8.277618408203125,7
153.17,39.39544677734375,-8.277591705322266,7
153.37,39.39545822143555,-8.277570724487305,7
153.57,39.39546585083008,-8.277552604675293,7
153.67,39.39546585083008,-8.277552604675293,7
153.77,39.395477294921875,-8.277538299560547,7
154.17,39.39549255371094,-8.277506828308105,7
154.37,39.3954963684082,-8.277488708496094,7
154.57,39.3955078125,-8.277467727661133,7
154.77,39.39551544189453,-8.277456283569336,7
155.17,39.39552688598633,-8.277434349060059,7
155.37,39.395530700683594,-8.277425765991211,7
155.57,39.395530700683594,-8.277420997619629,7
155.67,39.395530700683594,-8.277420997619629,7
155.77,39.395538330078125,-8.277408599853516,7
156.17,39.39556121826172,-8.277375221252441,7
156.37,39.395572662353516,-8.277360916137695,7
156.57,39.39558410644531,-8.27734661102295,7
156.77,39.39559555053711,-8.277331352233887,7
157.17,39.395606994628906,-8.277322769165039,7
157.27,39.39561462402344,-8.277315139770508,7
157.37,39.395626068115234,-8.277303695678711,7
157.57,39.39563751220703,-8.277289390563965,7
157.67,39.39563751220703,-8.277289390563965,7
157.77,39.39564895629883,-8.277277946472168,7
157.97,39.395660400390625,-8.277265548706055,7
158.17,39.39567565917969,-8.277253150939941,7
158.37,39.39567565917969,-8.277253150939941,7
158.47,39.395687103271484,-8.277241706848145,7
158.57,39.39569854736328,-8.277234077453613,7
158.77,39.395713806152344,-8.277223587036133,7
159.17,39.39573287963867,-8.277203559875488,7
159.37,39.39574432373047,-8.277193069458008,7
159.57,39.395751953125,-8.277183532714844,7
159.67,39.395751953125,-8.277183532714844,7
159.77,39.39575958251953,-8.27717399597168,7
160.17,39.395782470703125,-8.277152061462402,7
160.37,39.39579772949219,-8.277138710021973,7
160.57,39.39581298828125,-8.277124404907227,7
160.77,39.39582443237305,-8.277116775512695,7
160.97,39.39582443237305,-8.277116775512695,7
161.17,39.39584732055664,-8.277097702026367,7
161.37,39.39585876464844,-8.277083396911621,7
